第一轮：,
我们通常用来指代飞碟等不明飞行物的英文缩写是什么？,UFO
中国邮政特快专递的英文缩写是哪三个字母？,EMS
著名的“埃菲尔铁塔”是哪个城市的标志性景点？,巴黎
考拉，又叫做树袋熊，是哪个国家的国宝动物？,澳大利亚
童话故事中，一说谎话鼻子就会变长的木偶叫什么名字？,匹诺曹
久负盛名的孔雀舞是我国哪个民族的传统舞蹈？,傣族
传统服饰的旗袍是根据哪个民族的服饰改良的？,满族
童话故事《皮皮鲁和鲁西西》系列的作者是谁？,郑渊洁
第二轮：,第二轮：
制作木乃伊最著名的古代国家是哪一个？,埃及
秦始皇兵马俑是在我国的哪个省发掘的？,陕西
第三轮：,第三轮：
“宝马”汽车是哪个国家的著名品牌？,德国
“迪斯尼”的总部设在哪个国家？,美国
被誉为“人间天使”的《罗马假日》女主角是谁？,奥黛丽 赫本
50年代以被风吹起裙子的标志，红遍世界的美国性感女神是谁？,玛丽莲梦露
第四轮：,第四轮：
我国传统观的“七夕”节是为了纪念那两位人物的爱情故事？,牛郎 织女
我国哪个传统节日是祭祖和扫墓的日子？,清明节
人们一般撒什么东西来快速融化积雪路面？,盐
酿造啤酒的主要原料是什么粮食？,麦子
我们经常用的“飘柔”洗发水，是美国哪家公司的产品？,宝洁
发源于澳洲，近几年大火的雪地靴，统称是哪三个英文字母？,UGG
2004年夏季奥运会是在那个城市举办的？,雅典
前英格兰足球队队长，并成为伦敦奥运会形象大使的球星是谁？,贝克汉姆
赵本山和宋丹丹的小品《昨天今天明天》邀请了哪位主持人与他们合作？,崔永元
瑞星杀毒软件的标志是什么动物？,狮子
用弹弓控制小鸟来打击建筑物和猪的一款畅销游戏作品叫什么名字？,愤怒的小鸟
传说中“狸猫换太子”一案是被哪位官员查明平反的？,包拯
以“莫须有”罪名毒害了名将岳飞的奸臣是谁？,秦桧
著名的“特洛伊之战”传说起因是双方为了争夺一个美女，请问这位美女叫什么？,海伦
有史以来第一个活着亲眼看到自己的作品被收藏进卢浮宫的西班牙画家是谁？,毕加索
第五轮：,第五轮：
传说中开天辟地的上古人物叫做什么？,盘古
中国神话传说中是哪位神用五色石头补的天？,女娲
因为四季如春而被称为“春城”的是我国哪个城市？,昆明
坐落在上海黄浦江畔的著名电视塔，叫做什么名字？,东方明珠
公认为全世界规模最大的网络搜索引擎是哪一个？,谷歌
05年联想公司正式宣布完成收购哪一家公司的全球个人电脑业务？,IBM
被誉为香港第一代“玉女掌门人”，与倪震结婚的女明星是谁？,周慧敏
1987年徐克导演拍的《倩女幽魂》中饰演宁采臣的男主角是谁？,张国荣
第六轮：,第六轮：
我国一般查询电话号码通用的三位数号码是多少？,114
我国首都北京市的电话区号，是哪三个数字？,010
凭借《花样年华》在第53届戛纳电影节荣获最佳男主角的人是谁？,梁朝伟
指导《断背山》《卧虎藏龙》等电影的著名导演叫什么？,李安
皮肤划破后渗出的血会自动凝结是因为血液中含有什么细胞？,血小板
人体受到细菌感染时，血液中的那种细胞会明显增多？,白血球
世界上通常用来导航的全球卫星定位系统的英文简称是什么？,GPS
经常听说的“工商管理硕士”的英文简称是什么？,MBA
电影《盗梦空间》中，莱昂纳多饰演的主角用来分辨真实与梦境的道具是什么？,陀螺
电影《2012》中，用来拯救人类的方舟，建在哪个地区？,西藏
理性纯洁的精神恋爱又被人们称为哪位哲学家式的爱情？,柏拉图
卡通人物米老鼠和唐老鸭是哪位艺术家创造的经典形象？,迪斯尼
和《大学》，《孟子》，《中庸》一起被称为中国“四书”的是哪本著作？,《论语》
北京奥运会徽是一枚中国印，请问印章上的人形是由什么汉字演化而成？,京
希腊神话当中，顾影自怜的美男子那喀索斯变成了什么植物？,水仙花
第七轮：,第七轮：
一般被称为“万能献血者”的血型是什么？,O型
我们常说的“一打”啤酒是指多少瓶啤酒？,12瓶
美国用于报案、急救、消防等紧急求助的报警电话是什么？,911
国际通用的哪三个字母向外界发送求救信号？,SOS
我国第一座完全由中国自行设计和施工的长江大桥建于哪个城市？,南京
我国六大古都中建都最早的是那座城市？,西安
目前我国结婚证内页上印的是什么花？,牡丹花
第八轮：,第八轮：
海洋中最大的哺乳类动物是什么？,鲸鱼（学名是鲸，答案以节目显示为标准）
侏罗纪时期最具代表性的大型陆地动物是什么？,恐龙
常吃的“皮蛋”一般是由哪一种蛋加工而成的？,鸭蛋
广东人将传统小吃“馄饨”称为什么？,云吞
第九轮：,第九轮：
世界上第一家七星级酒店—“帆船酒店”，是在哪个城市？,迪拜
第十轮：,第十轮：
我国农历中有多少个节气？,24
在十二生肖中排列顺序第一的是什么动物？,老鼠
97年《还珠格格》中，因饰演小燕子一角而红遍亚洲的女演员是谁？,赵薇
“接下来，就是见证奇迹的时刻了”是哪一位著名魔术师的标志性口号？,刘谦
经典台词“向我开炮！”出自中国哪一部老电影？,英雄儿女
我国普遍公认的国土面积约为多少万平方公里？,960万平方公里
民国时期被称为“三大火炉”的除南京、武汉外还有哪座城市？,重庆
相传使董卓、吕布反目成仇的古代美女是谁？,貂蝉
清朝道光年间，在虎门销禁鸦片的民族英雄是谁？,林则徐
十二世纪十大画家之一，以画虾技术精湛而闻名的画家是谁？,齐白石
